tenure_months,monthly_charges,support_calls,contract_type,is_paperless,churn
33.5,72.0,1,1,0,0
21.0,47.27,0,2,0,0
38.4,66.47,0,1,0,0
17.7,63.66,0,2,1,0
15.9,54.6,2,0,0,1
20.3,62.51,2,2,0,0
22.9,57.69,2,1,0,0
10.0,52.02,1,1,1,0
23.6,58.31,4,2,0,1
7.3,69.7,1,0,1,1
37.9,106.26,0,1,0,0
23.2,48.66,1,2,1,0
17.6,75.44,1,0,0,0
14.9,35.77,2,2,1,1
20.2,96.8,0,1,1,0
21.8,58.33,1,2,1,0
13.6,67.78,3,1,1,0
14.8,90.55,0,0,1,1
22.1,84.75,1,1,1,1
18.8,35.16,2,2,1,0
33.4,76.1,2,1,1,0
35.4,60.45,0,1,1,0
24.2,77.38,0,0,1,0
28.7,68.05,2,2,0,1
10.6,79.72,1,1,0,1
30.4,70.84,1,0,0,0
23.7,62.2,3,0,1,1
28.8,88.54,0,0,0,0
40.0,34.12,0,1,0,0
1.2,56.34,1,0,0,1
26.6,45.89,0,0,1,0
13.0,62.12,0,0,1,1
29.9,56.4,2,2,1,0
10.9,62.04,1,0,1,0
19.0,55.19,5,0,0,1
26.0,55.61,2,1,1,0
30.1,32.12,2,1,0,0
24.7,64.25,3,1,1,0
16.1,71.17,0,1,0,0
18.5,53.07,5,0,1,1
32.8,51.86,0,1,1,0
23.9,52.11,3,0,1,0
7.2,98.58,1,2,1,1
32.4,68.76,2,0,1,1
28.2,72.75,2,1,0,0
32.7,58.99,2,0,0,0
20.6,55.0,0,0,0,0
32.3,47.43,0,1,1,0
13.4,95.84,3,0,0,1
29.7,30.99,0,2,1,0
19.1,71.0,1,0,1,0
30.7,64.52,1,1,1,0
34.1,59.89,2,0,0,1
16.6,33.67,1,0,0,0
23.5,40.3,0,2,1,0
24.4,84.63,1,1,0,1
35.9,51.13,1,0,1,0
31.1,82.58,1,0,0,0
11.8,78.39,0,1,1,0
28.6,76.59,1,1,0,0
31.5,80.23,2,1,1,0
45.2,40.79,1,0,1,0
7.2,55.52,1,0,0,0
18.6,78.57,0,2,0,0
37.3,39.75,2,0,1,0
10.4,98.29,2,0,0,1
12.0,53.81,2,0,1,0
29.2,63.71,1,1,0,0
34.2,44.5,4,0,1,0
17.3,72.32,3,0,0,1
29.4,50.32,2,0,0,0
25.2,60.15,1,0,0,0
39.2,42.23,0,1,1,0
24.0,88.84,1,0,0,1
33.9,32.35,3,1,1,0
15.0,74.02,2,1,0,1
22.2,69.74,3,0,0,0
23.0,73.76,2,2,1,1
35.4,44.59,1,2,1,0
29.8,85.67,2,0,1,0
16.5,84.29,1,0,0,0
30.8,68.19,0,2,0,0
31.7,71.25,2,0,1,1
22.9,61.85,1,1,1,0
21.4,77.86,1,1,1,0
22.1,48.58,4,0,1,1
7.1,76.1,2,1,0,1
25.9,73.13,0,1,0,0
26.3,36.8,0,0,1,0
15.3,12.52,0,1,1,0
31.4,62.66,4,1,1,0
10.3,61.77,3,0,0,1
18.5,89.36,1,1,0,1
19.2,66.15,2,0,1,1
43.9,55.04,5,1,1,1
8.0,37.8,1,0,0,0
29.6,63.23,1,1,1,0
33.4,53.32,3,0,0,0
27.8,42.95,2,0,0,0
35.8,62.59,1,2,1,0
14.0,86.14,2,0,1,1
1.2,66.86,2,1,1,0
31.7,44.02,2,1,1,0
12.0,71.55,1,1,1,0
20.7,43.04,4,0,0,0
12.2,33.45,2,2,1,0
34.5,74.89,5,2,1,1
32.7,53.99,1,1,0,0
16.8,87.27,1,1,0,0
33.0,71.22,1,0,1,0
25.2,48.87,3,0,0,1
22.6,69.39,1,1,0,0
24.6,90.91,0,0,1,1
22.0,61.23,4,1,0,1
30.2,43.78,2,0,1,0
27.1,51.77,1,0,0,0
20.5,48.74,1,0,1,0
34.1,41.38,0,1,1,0
17.9,39.15,2,2,0,1
26.9,73.45,2,2,0,0
28.2,87.19,1,0,1,0
38.8,57.76,0,0,0,0
18.9,80.73,1,0,1,0
41.4,83.16,0,1,0,0
25.8,98.68,1,0,0,0
22.1,61.27,1,1,1,0
17.3,58.01,1,0,1,1
29.9,73.42,2,1,0,0
24.5,66.95,2,1,0,1
13.0,71.04,1,2,0,1
12.7,90.93,1,0,1,1
18.4,56.41,1,0,0,0
17.2,69.33,1,1,1,0
34.9,45.38,3,1,0,0
37.8,61.81,0,1,1,0
32.7,51.53,1,0,1,0
27.6,49.85,1,0,0,1
19.7,60.61,0,2,0,0
24.5,56.07,3,2,0,0
32.8,72.43,0,1,1,0
45.3,81.08,2,2,0,0
33.1,35.15,4,0,1,0
21.2,85.07,0,2,1,0
24.4,20.47,0,0,0,0
19.2,69.95,1,0,0,1
16.2,79.21,1,0,1,0
22.2,51.99,1,0,1,1
26.0,60.42,2,2,1,0
42.4,49.36,0,2,0,0
24.5,82.9,0,1,0,0
37.6,10.0,0,1,1,0
41.7,45.58,1,1,0,0
24.8,26.26,1,1,0,0
40.1,68.77,1,2,1,0
31.1,90.98,2,2,0,0
19.8,88.83,1,0,0,1
26.7,78.36,6,1,1,1
24.2,69.96,1,1,1,0
21.7,49.68,1,1,0,0
22.0,89.37,3,2,1,0
25.4,77.47,3,1,0,1
28.3,48.11,1,2,1,0
15.2,39.41,4,1,0,1
23.9,52.43,2,0,0,0
8.8,86.64,3,0,1,1
26.6,90.02,3,2,0,1
30.2,97.32,3,0,0,1
25.6,49.49,3,0,0,1
26.9,57.8,5,0,1,1
29.9,92.65,1,0,0,1
17.3,69.4,2,0,0,1
21.6,80.28,2,0,0,0
29.1,38.58,2,2,1,1
34.0,57.61,1,1,1,0
27.9,64.68,2,0,0,0
49.5,57.92,0,2,1,0
23.1,56.73,1,0,1,0
34.0,32.35,2,1,0,0
36.7,97.62,1,1,0,1
22.7,67.98,3,0,1,0
15.8,35.93,4,2,1,0
12.2,86.62,2,1,1,1
25.6,66.45,1,1,0,0
35.1,79.48,1,1,1,0
26.7,61.32,2,0,1,0
25.7,49.54,0,0,1,0
20.2,50.05,1,1,0,0
29.6,72.12,2,0,0,0
2.6,80.76,3,0,0,1
26.3,75.08,5,1,1,1
24.3,78.22,2,0,0,1
10.3,89.4,2,1,0,0
45.8,71.11,2,1,0,0
10.1,85.48,1,1,0,1
13.2,87.59,1,0,0,0
12.0,71.33,0,0,1,0
35.1,64.0,0,0,1,0
15.1,56.86,2,1,0,0
30.7,41.53,3,0,0,1
29.9,34.48,2,2,1,0
26.6,91.91,2,0,0,1
10.9,65.42,1,1,0,0
17.9,54.74,3,1,0,1
40.7,97.29,2,0,1,0
11.1,85.19,0,0,1,1
15.7,66.98,0,1,0,0
22.4,85.93,1,1,0,1
32.1,62.04,0,0,0,0
26.5,73.07,1,0,0,1
31.4,102.34,2,0,1,0
13.3,87.13,0,0,1,1
33.4,60.51,0,1,1,0
29.7,79.89,3,1,0,1
8.1,89.68,1,2,1,0
39.4,63.74,4,0,0,0
46.9,57.77,1,0,0,0
16.3,103.69,2,0,1,1
24.6,60.31,0,1,1,0
38.0,39.91,1,0,0,0
9.2,69.24,2,0,0,1
4.1,112.25,1,0,1,1
11.0,79.2,2,1,1,1
18.3,85.88,0,2,1,0
18.2,23.49,1,0,0,0
30.1,55.93,2,0,1,0
26.7,91.24,1,0,1,0
11.5,59.15,0,1,1,0
29.7,93.64,0,0,0,0
42.7,76.91,2,0,0,0
36.0,75.38,1,2,0,0
33.9,101.11,0,0,1,1
24.2,57.47,0,2,1,0
33.8,58.22,1,1,1,0
14.3,69.75,1,0,0,1
31.5,72.02,1,1,0,1
23.1,33.71,1,2,1,0
35.3,92.27,3,0,1,1
28.7,72.26,2,2,1,1
13.1,64.37,1,1,0,0
25.3,80.13,1,2,0,0
36.2,59.79,1,1,0,0
12.7,91.87,4,2,1,1
18.4,69.03,1,0,0,0
16.3,82.16,0,1,1,0
9.0,50.01,0,0,1,0
33.6,62.17,0,0,0,0
37.1,75.15,0,2,0,0
32.0,48.79,1,2,0,0
26.4,54.48,1,1,1,0
23.5,66.6,1,0,1,0
26.4,89.88,1,2,1,0
16.7,82.84,1,0,0,1
32.9,85.68,1,0,0,0
34.5,73.66,0,0,1,0
33.3,85.61,5,1,0,0
18.7,98.37,2,0,1,0
24.8,70.91,6,2,1,1
22.3,76.24,0,0,0,1
41.9,79.2,3,0,0,0
25.8,27.48,3,0,0,0
5.2,65.5,1,0,1,1
28.0,75.83,0,0,0,0
42.8,82.54,0,0,1,1
30.9,61.02,0,2,0,0
32.8,86.93,1,0,1,0
24.4,54.6,2,0,0,0
4.3,63.86,1,1,0,1
5.9,101.01,2,0,0,1
11.5,40.32,2,1,1,0
22.7,65.71,2,2,0,0
27.1,64.29,2,0,0,1
30.9,65.4,2,1,0,0
20.6,56.49,3,0,0,1
33.6,80.11,0,2,0,0
21.2,45.68,3,0,0,0
17.0,40.63,2,1,1,0
32.5,76.59,3,0,1,1
14.9,43.12,1,2,1,0
0.0,74.4,1,0,1,1
13.4,67.3,1,1,0,0
24.9,53.12,1,1,0,0
0.0,59.9,0,2,1,0
20.4,64.77,1,0,1,0
20.7,75.68,0,0,0,0
9.7,54.03,1,0,1,1
9.2,62.42,1,1,0,1
19.4,37.94,0,2,1,0
18.5,61.04,5,1,0,1
36.6,28.13,1,0,1,0
27.7,65.5,4,1,0,1
8.2,57.27,2,1,1,1
15.5,108.14,1,1,1,1
31.1,91.94,3,1,0,1
43.0,63.22,3,2,1,1
27.9,85.13,2,0,1,1
27.1,71.8,2,1,0,0
42.6,43.15,1,1,1,0
23.8,17.59,0,2,1,0
20.9,88.15,4,1,0,1
9.9,73.73,2,0,0,1
18.9,26.83,2,2,1,0
45.8,78.6,1,1,1,0
9.8,84.1,2,0,0,1
24.1,52.15,3,1,0,0
9.9,81.57,1,1,0,1
25.3,31.38,3,2,1,0
32.9,61.36,4,2,0,1
21.6,66.42,0,2,1,0
31.3,81.33,2,2,0,0
31.2,73.64,2,0,1,0
28.5,70.11,2,1,0,0
41.2,76.76,4,0,0,1
31.8,52.56,2,1,0,0
21.0,95.18,1,1,0,0
17.2,58.8,2,2,0,0
15.5,81.47,2,0,0,1
28.8,65.51,0,0,0,0
20.8,60.65,2,0,0,1
51.3,77.27,2,2,0,0
42.4,74.48,2,1,1,0
21.9,92.4,2,0,0,1
20.7,87.02,0,2,0,0
40.9,54.2,0,2,0,0
5.2,75.56,1,1,0,1
19.5,67.58,0,1,0,0
33.5,49.63,2,0,0,1
14.9,43.54,2,1,0,0
19.2,70.63,1,0,0,0
20.5,54.83,2,0,1,0
30.6,37.8,0,0,0,0
25.4,63.62,0,0,1,0
28.0,69.93,2,0,0,1
30.0,67.49,2,1,1,1
24.3,41.41,3,1,1,0
35.1,53.89,1,2,1,0
16.7,92.84,2,0,0,1
9.6,50.07,2,0,0,0
6.2,58.92,1,1,1,1
7.8,111.53,1,1,0,1
18.5,72.39,0,0,1,0
34.3,55.37,3,1,0,1
25.7,26.52,5,2,1,0
18.0,71.55,2,0,0,1
13.3,37.58,3,1,0,0
18.7,64.83,1,1,1,0
20.0,47.99,3,0,1,1
18.3,31.84,0,2,1,0
9.7,98.33,1,0,1,1
19.2,63.13,0,2,1,0
34.2,83.62,0,0,0,0
2.3,80.0,3,2,0,1
21.6,50.6,1,1,0,0
2.8,66.97,2,2,0,0
25.8,58.04,3,1,0,1
16.5,84.44,2,0,1,1
3.1,73.76,1,0,1,1
25.0,58.05,2,0,0,1
42.2,98.3,0,1,0,0
25.1,75.49,2,0,0,0
35.6,74.35,1,1,1,0
23.3,49.45,2,2,0,0
2.4,73.25,1,0,1,0
28.9,35.8,2,1,0,0
19.8,74.33,1,2,1,0
9.4,46.38,1,0,1,0
31.8,68.75,6,1,1,1
26.9,59.53,4,0,0,1
18.7,69.64,2,2,0,0
32.7,72.21,0,0,0,0
15.3,63.9,0,1,1,0
30.4,63.91,3,0,1,0
14.6,35.26,2,0,0,0
29.3,27.04,0,0,0,0
13.0,90.23,4,0,0,1
38.9,76.48,0,1,0,0
26.5,35.42,0,0,0,0
38.3,103.18,1,0,0,1
15.8,50.71,2,0,0,0
19.2,75.22,1,0,0,1
32.4,73.5,2,0,0,0
0.0,67.17,2,1,0,1
13.3,77.17,2,1,1,1
34.3,37.52,2,1,1,0
28.7,64.28,3,0,1,1
33.8,59.92,1,0,0,0
20.9,66.75,4,1,1,1
29.6,59.52,3,1,0,0
16.7,52.16,2,2,1,1
10.3,50.38,2,0,1,1
7.1,82.69,0,0,0,0
18.5,48.04,2,0,1,0
18.5,72.25,0,1,1,1
17.7,72.0,1,2,0,0
0.0,63.04,1,1,0,0
4.0,73.47,2,1,1,1
18.7,75.84,2,0,1,1
26.9,54.36,0,0,0,0
18.2,71.72,3,1,1,1
15.2,103.11,2,2,0,1
0.9,43.58,3,1,0,1
44.2,58.95,1,0,1,1
13.0,49.66,1,0,1,0
40.8,104.7,2,0,1,1
39.6,36.94,4,2,1,0
26.7,65.14,3,0,0,0
18.3,83.58,2,0,1,1
25.3,47.64,1,1,1,0
12.5,62.28,6,0,1,1
26.6,50.76,2,0,1,0
24.0,38.19,1,0,1,0
29.3,63.58,1,0,1,0
33.5,74.86,3,0,1,1
41.3,57.03,1,0,1,0
20.1,68.26,4,0,1,1
34.4,78.65,3,0,1,0
16.1,88.85,2,2,0,0
15.1,40.31,1,0,0,0
17.8,77.23,1,0,0,0
14.2,52.57,3,1,0,1
33.8,27.32,1,2,1,0
33.2,49.44,1,0,0,0
36.7,77.8,2,2,1,0
23.7,71.13,1,0,1,0
26.7,43.07,3,0,1,0
18.2,97.08,0,0,0,0
12.5,73.04,5,0,0,1
28.5,63.62,1,0,1,0
26.7,54.16,1,1,0,0
12.9,73.33,6,0,1,1
29.9,57.24,2,1,1,0
6.6,87.65,0,2,0,1
22.2,71.25,3,0,1,0
17.7,77.27,1,0,0,1
18.7,58.88,1,0,1,0
13.2,35.5,0,1,1,0
33.5,75.52,0,2,1,0
29.7,44.86,1,0,1,0
35.8,62.88,2,0,0,0
25.3,64.72,2,0,1,1
11.0,49.42,3,1,0,1
20.2,82.73,1,1,1,0
12.1,36.51,2,0,0,0
28.5,94.73,1,0,1,1
36.0,53.22,2,1,1,1
27.2,84.21,2,0,0,0
17.9,90.77,0,2,0,0
20.2,47.81,0,0,1,0
25.9,50.34,2,0,1,0
9.4,83.73,2,0,1,1
25.3,68.72,2,0,0,1
25.8,66.64,1,0,0,0
18.4,28.56,2,0,1,0
19.7,32.29,3,0,0,1
25.5,75.7,1,2,0,0
15.6,93.56,3,0,1,1
15.6,50.88,1,1,1,0
31.6,47.78,3,1,1,0
26.0,69.16,2,2,1,0
40.6,74.24,0,0,0,0
13.9,76.19,5,0,0,1
6.0,56.24,1,1,0,0
33.2,26.3,1,0,1,0
33.3,94.01,1,0,1,0
16.4,55.12,3,0,0,1
9.1,89.99,4,0,0,1
23.3,25.42,1,1,1,0
6.2,72.38,0,1,0,0
20.3,55.06,1,2,1,0
1.9,43.43,1,2,1,0
21.3,84.3,4,0,1,1
2.5,90.67,1,0,1,1
21.3,53.35,4,0,0,1
38.8,77.86,0,0,0,0
21.0,43.65,0,1,0,1
31.4,52.72,1,0,1,0
17.2,60.13,1,0,0,0
14.7,58.1,0,1,1,0
8.6,77.69,0,1,0,0
34.0,41.03,0,0,0,0
23.0,84.23,0,1,1,0
39.8,84.2,0,0,1,0
11.8,60.68,2,0,1,1
21.3,41.49,3,1,0,0
24.4,17.79,6,0,1,0
37.7,63.75,0,1,1,0
41.8,50.78,2,0,0,0
17.1,67.03,0,2,1,0
12.2,44.05,3,0,1,1
6.2,65.05,5,0,1,1
36.9,63.78,1,0,1,0
22.6,65.22,1,0,1,0
17.0,70.67,3,2,1,0
23.0,70.79,0,0,0,0
0.0,84.24,3,1,0,1
6.2,49.48,0,0,1,0
32.8,79.28,3,0,0,1
27.4,68.19,3,0,0,0
25.0,56.73,2,0,0,0
13.5,45.28,2,0,0,0
29.4,93.91,3,0,1,1
41.3,69.77,0,2,1,0
11.2,54.8,0,2,0,0
23.6,66.48,2,0,0,0
19.1,65.14,0,0,1,0
27.1,54.69,3,0,1,0
23.6,37.75,1,0,0,1
22.0,68.08,2,1,1,0
14.6,61.83,3,2,1,0
23.3,59.47,1,0,1,0
17.3,84.54,2,1,0,1
22.0,39.09,1,1,1,1
22.8,46.18,5,0,1,1
30.0,68.24,1,1,1,1
17.6,81.55,2,0,1,1
20.2,77.16,3,1,0,0
34.2,79.46,2,0,0,0
21.3,21.57,1,1,0,0
20.8,74.89,1,1,1,1
32.1,73.33,1,0,0,1
26.2,78.59,3,0,0,1
24.4,51.49,5,1,0,1
25.7,75.17,3,0,0,0
11.1,84.92,1,1,1,1
28.1,96.84,6,0,1,1
36.7,70.12,2,0,0,0
29.3,38.84,0,0,0,0
7.9,66.21,1,1,1,0
26.4,77.88,0,0,1,0
14.5,75.29,1,0,1,0
21.3,102.98,2,2,1,1
24.8,61.19,0,0,1,0
11.6,45.04,2,1,0,0
36.9,52.59,2,0,0,0
22.9,78.15,2,0,1,0
31.5,49.33,0,0,0,0
29.9,44.58,1,0,1,0
37.0,48.65,1,0,1,0
35.5,89.07,2,0,0,0
8.9,69.88,1,1,0,0
24.0,58.54,4,0,1,1
2.3,81.97,1,1,0,0
19.2,78.77,2,1,0,0
30.8,45.94,2,0,1,0
32.8,81.62,1,0,1,0
36.5,70.02,1,0,0,0
19.9,24.47,1,0,0,0
26.9,41.77,2,1,0,1
24.6,70.38,0,0,0,1
36.3,74.84,0,1,1,0
39.6,59.56,0,1,1,0
20.1,45.52,1,2,0,0
61.5,70.15,2,0,1,0
23.6,29.1,1,1,1,0
20.0,76.26,1,0,1,0
29.7,62.29,1,2,1,0
31.3,64.74,3,2,0,0
29.2,52.42,2,0,0,0
17.2,81.69,3,0,1,1
38.4,19.26,3,0,1,0
24.3,48.18,2,1,1,0
39.1,76.77,1,1,1,0
37.7,51.44,0,0,1,0
