tenure_months,monthly_charges,support_calls,contract_type,is_paperless,churn
36.9,57.49,0,0,1,0
25.3,51.97,0,0,1,0
24.7,86.74,2,0,1,1
21.6,89.79,2,0,1,1
31.4,70.54,1,1,1,0
27.8,78.86,1,1,1,0
26.8,62.75,2,0,0,0
14.2,67.8,0,1,0,0
35.9,50.16,1,1,1,0
37.6,65.69,0,2,1,0
11.0,50.73,3,0,0,1
47.0,72.46,2,0,1,0
31.2,81.55,0,1,0,0
19.1,71.22,4,0,1,1
5.0,88.68,4,1,0,1
30.6,118.8,1,2,1,0
29.6,22.87,0,0,1,0
18.0,65.27,1,1,1,0
6.1,53.63,1,1,0,1
35.2,55.87,0,2,1,0
18.1,37.84,1,0,1,0
19.3,66.05,1,0,0,0
52.5,59.83,0,0,1,0
45.3,52.34,2,2,1,0
33.5,59.91,0,0,0,0
19.4,53.15,3,0,0,0
30.5,18.14,2,1,1,0
1.2,86.55,2,2,1,0
25.1,58.93,0,1,0,0
16.4,46.01,2,0,0,0
11.1,71.13,1,0,1,1
8.2,51.75,0,2,0,0
29.3,21.52,2,0,0,0
24.9,82.74,1,0,0,1
25.6,31.47,2,0,1,0
32.4,60.63,1,0,1,0
15.5,67.4,4,1,0,0
11.6,91.99,1,2,0,0
6.2,88.8,1,2,1,0
20.6,68.31,1,2,0,0
31.6,49.73,3,0,1,1
22.5,56.68,2,0,1,1
30.4,86.75,0,0,1,0
12.2,100.73,0,1,1,1
19.3,75.88,3,0,1,1
16.3,52.1,1,2,0,0
11.5,85.59,1,1,1,0
42.6,57.5,2,2,1,0
32.5,56.84,1,1,0,0
16.4,59.42,0,0,0,0
16.3,76.8,1,0,1,1
23.4,70.51,0,2,0,0
9.6,84.86,1,0,1,0
28.4,90.93,2,0,1,1
11.1,75.26,2,0,0,1
20.3,18.35,1,1,1,0
13.8,31.07,1,0,1,0
19.2,68.17,0,0,0,0
10.7,63.71,1,0,0,0
8.3,108.18,0,1,1,0
14.3,64.4,2,2,1,1
17.2,61.95,1,2,1,0
21.1,83.88,1,0,1,0
24.7,86.29,3,1,1,1
39.3,60.29,0,0,1,0
32.1,74.46,1,0,1,0
21.5,42.33,6,1,0,0
31.3,46.14,0,1,1,0
17.1,89.66,0,0,1,0
38.5,36.86,2,0,0,0
29.5,83.45,1,2,1,0
10.4,78.56,4,0,0,1
31.6,80.4,1,0,0,0
32.2,83.26,2,1,1,0
0.0,76.28,0,0,0,0
16.5,22.17,3,0,1,0
19.3,44.91,2,2,0,0
4.7,52.97,3,2,1,1
13.3,83.3,3,0,0,1
14.5,42.44,0,2,1,0
29.1,50.9,1,2,0,0
27.0,57.74,2,0,0,0
50.3,91.33,0,0,0,0
20.1,36.18,5,0,0,1
35.5,37.92,0,1,0,0
24.8,77.54,1,2,1,0
26.7,22.49,1,1,1,0
12.4,71.64,2,1,0,1
4.9,55.92,0,0,1,1
16.3,33.46,2,1,0,0
31.6,56.59,0,0,0,0
39.8,44.96,1,0,0,0
30.0,68.36,2,0,0,0
29.0,72.28,1,0,0,0
15.6,94.78,1,0,1,0
39.3,64.74,1,2,1,0
37.4,67.01,3,1,1,1
18.7,53.45,1,1,1,0
23.5,64.53,2,0,0,1
14.0,85.99,1,1,1,1
38.7,26.49,6,0,1,1
28.1,78.18,1,1,0,1
23.0,54.3,0,0,0,0
28.1,66.48,1,0,0,1
28.4,71.5,1,0,1,0
19.9,82.01,1,0,0,0
11.6,69.77,1,1,1,0
11.2,57.15,1,2,0,0
6.6,71.23,3,0,1,1
28.6,65.24,2,0,0,0
46.2,60.91,2,0,0,0
7.0,69.1,2,1,1,0
25.4,82.47,1,0,0,1
28.1,67.77,0,1,1,0
14.2,68.11,5,1,1,1
26.0,39.25,1,0,1,0
13.0,62.46,1,0,0,0
36.0,27.84,5,2,1,0
18.1,79.4,2,2,0,0
25.0,46.21,2,0,1,0
30.8,90.91,1,1,1,0
19.7,124.87,0,2,1,0
6.1,57.05,1,0,0,1
18.7,91.59,0,0,1,1
31.6,73.07,4,2,1,1
23.2,53.86,0,0,1,0
26.3,48.17,1,1,0,0
13.2,76.24,0,2,0,0
25.4,92.9,2,0,1,1
31.3,72.07,0,1,1,0
24.4,34.76,2,0,0,0
43.1,44.15,1,2,1,0
21.9,60.44,0,0,0,0
13.6,92.14,1,0,0,1
7.8,70.67,1,1,1,1
35.5,71.55,1,0,0,1
23.4,89.21,1,2,0,0
34.1,60.91,2,0,0,1
28.6,63.22,0,1,1,0
40.3,61.36,1,2,1,0
36.7,29.44,3,0,1,0
20.2,74.33,2,0,0,1
26.7,73.22,1,1,0,0
34.9,84.51,0,2,0,0
11.6,41.22,0,0,0,0
38.5,48.68,2,1,1,1
36.1,83.69,2,0,1,1
33.8,71.46,0,0,0,0
22.0,92.5,0,1,1,1
27.0,47.74,3,0,0,0
12.8,69.02,0,0,0,1
24.6,51.48,1,0,0,0
18.1,71.2,3,0,0,0
24.9,55.3,0,0,0,0
19.1,75.72,0,0,0,0
26.8,86.63,0,1,1,0
35.8,78.51,2,0,0,0
10.9,28.83,1,0,1,0
33.3,83.81,3,0,0,1
4.1,73.95,0,1,1,0
2.4,44.14,0,1,0,0
22.8,47.28,1,1,0,0
24.1,65.17,0,1,1,0
28.4,76.47,2,0,1,0
7.5,55.99,1,1,1,0
23.4,32.55,1,0,1,0
25.3,70.63,0,0,1,0
36.6,68.4,2,1,0,0
23.0,113.82,3,0,0,1
29.3,39.23,1,2,1,0
14.2,115.48,1,0,1,0
22.1,99.89,2,2,0,1
19.5,71.06,1,0,1,1
31.0,98.18,2,1,0,1
14.1,66.93,2,0,0,0
15.7,84.56,2,0,0,1
29.8,50.32,2,0,0,0
41.9,66.59,2,2,1,0
27.8,44.71,0,0,1,0
27.0,33.49,0,2,1,0
20.5,59.57,1,2,0,1
34.9,51.82,2,0,1,0
29.4,76.46,4,0,0,0
41.3,90.42,0,0,1,0
27.3,61.62,2,0,1,0
14.5,66.18,0,2,1,0
18.3,68.76,1,0,1,1
14.1,31.44,3,2,1,0
11.5,70.38,2,0,1,1
36.6,65.23,2,1,0,0
32.1,64.07,2,0,0,1
11.6,42.99,2,0,1,0
41.8,25.36,2,0,1,0
26.4,59.99,2,0,0,0
14.4,71.32,1,1,0,0
27.9,91.82,0,2,1,0
23.3,87.62,1,2,0,1
16.3,94.11,0,0,1,1
4.6,72.4,2,1,1,1
24.4,88.12,2,1,1,0
26.9,60.88,2,2,1,1
0.0,77.57,0,0,1,0
29.5,83.64,3,1,0,0
30.2,118.79,2,0,0,0
19.3,69.85,4,2,0,1
25.1,39.55,2,0,0,0
21.2,92.55,2,1,0,1
15.6,49.17,3,0,1,1
20.4,63.79,1,2,0,1
37.5,59.12,1,1,0,0
9.5,46.84,1,0,1,1
26.4,91.7,4,1,1,1
25.8,76.92,0,0,1,0
16.9,52.76,1,1,0,0
19.6,66.39,1,2,0,0
10.0,56.34,1,0,0,0
15.5,77.3,2,1,0,1
24.1,57.43,2,1,0,0
27.3,49.68,2,0,0,1
15.0,52.11,5,0,1,1
54.6,56.26,0,0,0,0
18.3,70.79,1,2,1,0
25.3,46.62,0,2,0,0
21.7,63.21,1,2,0,0
20.0,73.87,0,1,1,0
37.0,111.75,0,1,1,0
19.2,82.12,1,1,1,1
37.3,10.0,1,2,1,0
35.4,54.78,1,2,1,0
13.5,57.06,2,0,1,1
34.4,71.41,4,0,1,1
17.5,96.39,1,1,1,0
51.4,79.84,2,2,1,0
20.1,18.94,2,0,1,0
14.6,71.14,0,2,0,1
4.9,67.16,2,2,0,1
11.1,73.26,0,0,0,0
18.2,92.18,1,1,1,0
14.0,43.18,2,2,1,0
11.7,87.06,3,2,1,0
17.0,31.92,0,2,0,0
21.9,66.02,1,0,0,1
38.5,72.61,1,2,0,0
7.0,110.69,3,0,1,1
18.5,50.95,2,0,0,0
14.5,31.12,3,0,0,0
8.8,78.74,3,1,0,1
11.3,51.78,1,1,0,0
14.9,96.28,1,1,1,1
31.2,50.84,0,0,0,0
22.1,47.45,2,1,0,0
18.6,89.89,1,1,0,0
30.1,66.71,0,0,1,0
26.8,85.02,1,0,1,0
21.8,36.4,1,0,1,0
27.8,98.02,0,1,1,0
15.7,53.22,2,0,0,0
30.3,81.39,1,0,0,0
28.7,44.9,1,2,1,1
19.9,33.99,0,0,1,0
11.8,59.86,2,0,1,1
39.2,68.49,3,1,1,0
24.9,96.53,3,0,0,0
54.5,72.0,0,0,0,0
17.5,79.31,1,0,1,0
32.5,78.18,0,0,1,0
19.7,127.2,0,0,0,1
26.5,48.64,3,1,0,1
32.3,90.1,0,2,0,0
16.0,62.01,1,2,1,0
23.0,70.22,0,1,0,0
25.6,54.06,1,0,0,0
25.1,88.25,1,2,0,0
30.0,39.9,2,0,0,0
34.3,38.55,1,1,1,0
32.3,60.84,1,1,0,0
26.6,41.84,0,2,1,0
20.5,79.07,1,2,0,0
12.7,83.44,0,1,0,1
16.6,49.94,1,1,1,0
18.7,80.68,0,1,0,0
30.8,51.76,1,2,1,0
20.4,64.12,3,0,0,0
11.6,65.14,0,2,1,0
30.3,102.53,2,2,1,0
16.0,64.99,0,0,0,0
16.3,46.76,4,2,1,1
21.7,46.65,3,2,1,0
28.7,89.0,2,0,1,0
0.0,31.62,0,2,0,0
12.8,55.6,0,0,0,0
